video_id,video_title,publish_time,viewCount,likeCount,commentCount,duration
GZGY0wPAnus,The art of misdirection | Apollo Robbins,2013-09-13,24547289,488261,12537,0 days 00:08:48
R1vskiVDwl4,Celeste Headlee: 10 ways to have a better conversation | TED,2016-03-08,12098006,314648,5119,0 days 00:11:45
SFnMTHhKdkw,Every kid needs a champion | Rita Pierson,2013-05-03,5167635,64830,1304,0 days 00:07:49
iCvmsMzlF7o,The power of vulnerability | Brené Brown,2011-01-03,16807075,269657,5247,0 days 00:20:50
cXbXNV9-ZAg,My love letter to cosplay | Adam Savage,2016-08-23,1816721,103538,2165,0 days 00:13:08
SjSHVDfXHQ4,The magic of Fibonacci numbers | Arthur Benjamin,2013-11-08,4835544,99785,3160,0 days 00:06:25
eIho2S0ZahI,How to speak so that people want to listen | Julian Treasure,2014-06-27,32351403,626119,9202,0 days 00:09:59
-moW9jvvMr4,A simple way to break a bad habit | Judson Brewer,2016-02-24,10724977,203291,4459,0 days 00:09:25
sa1iS1MqUy4,&quot;To This Day&quot; ... for the bullied and beautiful | Shane Koyczan,2013-03-08,3782028,102108,4204,0 days 00:12:04
n3kNlFMXslo,How to gain control of your free time | Laura Vanderkam,2017-02-07,6811789,154334,2178,0 days 00:11:55
ON4iy8hq2hM,The difference between healthy and unhealthy love | Katie Hood,2019-06-11,3370019,99398,2071,0 days 00:12:14
6ibCtsHgz3Y,How books can open your mind | Lisa Bu,2013-05-31,2738409,92756,1313,0 days 00:06:17
xsEJ6GeAGb0,What&#39;s normal anxiety -- and what&#39;s an anxiety disorder? | Body Stuff with Dr. Jen Gunter,2021-07-01,1063105,51662,1163,0 days 00:05:11
EzZzZ_qpZ4w,A guerilla gardener in South Central LA | Ron Finley,2013-03-06,1302080,34506,1833,0 days 00:10:46
lmyZMtPVodo,Why good leaders make you feel safe | Simon Sinek,2014-05-19,6871403,109704,1875,0 days 00:12:00
IRVdiHu1VCc,Learning from dirty jobs | Mike Rowe,2009-03-05,6965121,140005,5946,0 days 00:20:03
QijH4UAqGD8,Get comfortable with being uncomfortable | Luvvie Ajayi Jones,2018-01-02,3140218,123338,2100,0 days 00:10:55
xMj_P_6H69g,The art of asking | Amanda Palmer,2013-03-01,6006594,103050,4032,0 days 00:13:48
Zo62S0ulqhA,What I learned from going blind in space | Chris Hadfield,2014-03-19,9049755,255268,11773,0 days 00:18:23
YrZTho_o_is,Embrace the Shake | Phil Hansen | TED Talks,2013-05-21,541566,8570,297,0 days 00:10:02
u1K6hnm09xs,Making peace is a marathon | May El-Khalil,2013-08-16,4042148,1759,145,0 days 00:10:17
aISXCw0Pi94,Molly Wright: How every child can thrive by five | TED,2021-08-09,2011629,103141,0,0 days 00:07:43
5J6jAC6XxAI,Why you should define your fears instead of your goals | Tim Ferriss,2017-07-14,3298348,110475,1461,0 days 00:13:22
0R9zjn9BBvA,You are fluent in this language (and don&#39;t even know it) | Christoph Niemann,2018-08-22,1585671,59905,1450,0 days 00:12:43
_Il70mlj38o,Malcolm London: &quot;High School Training Ground&quot;,2013-05-08,235282,3484,97,0 days 00:03:01
8COaMKbNrX0,"Are athletes really getting faster, better, stronger? | David Epstein",2014-04-29,6653307,135705,5887,0 days 00:14:54
cTIUiN6inIQ,"How to make faster decisions | The Way We Work, a TED series",2020-02-10,343373,7899,143,0 days 00:05:08
P2AUat93a8Q,Rethinking infidelity ... a talk for anyone who has ever loved | Esther Perel,2015-05-21,11508379,191343,10738,0 days 00:21:31
KM4Xe6Dlp0Y,"Looks aren&#39;t everything. Believe me, I&#39;m a model. | Cameron Russell",2013-01-16,28150094,478252,25650,0 days 00:09:38
PYJ22-YYNW8,"This is what makes employees happy at work | The Way We Work, a TED series",2019-02-09,538794,8922,171,0 days 00:04:10
flb_S5JJC4k,What it was like to grow up under China&#39;s one-child policy | Nanfu Wang,2019-09-10,924198,31300,1992,0 days 00:05:57
knJWF4km3y0,"How much sleep do you really need? | Sleeping with Science, a TED series",2020-09-02,418251,13579,599,0 days 00:02:55
qp0HIF3SfI4,How great leaders inspire action | Simon Sinek,2010-05-04,15309486,203013,4074,0 days 00:18:35
DESCcjSQSKY,A cleanse won&#39;t detox your body -- but here&#39;s what will | Body Stuff with Dr. Jen Gunter,2021-07-08,1984085,65963,2076,0 days 00:04:43
8GQZuzIdeQQ,How to make hard choices | Ruth Chang,2014-06-18,1441587,29736,1037,0 days 00:14:42
Ks-_Mh1QhMc,Your body language may shape who you are | Amy Cuddy,2012-10-01,20623474,319287,8956,0 days 00:21:03
_vS_b7cJn2A,"Tom Wujec: Got a wicked problem? First, tell me how you make toast",2015-02-05,729872,8361,162,0 days 00:09:06
v19OlWvdUSg,"A skateboard, with a boost | Sanjay Dastoor",2013-04-02,558081,5202,1015,0 days 00:04:21
D9Ihs241zeg,The danger of a single story | Chimamanda Ngozi Adichie,2009-10-07,9737463,190648,8650,0 days 00:19:17
r9LCwI5iErE,The transformative power of classical music | Benjamin Zander,2008-06-27,6744080,173374,6160,0 days 00:20:44
P9-fJI0iZv4,"How daylight saving time affects our bodies, minds -- and world | Sleeping with Science",2021-11-03,129593,4393,335,0 days 00:01:31
xYemnKEKx0c,Strange answers to the psychopath test | Jon Ronson,2012-08-15,22985507,443926,23557,0 days 00:18:02
EtZQT3avFaY,"5 ways to create stronger connections | The Way We Work, a TED series",2020-02-10,154806,2752,34,0 days 00:03:07
UyyjU8fzEYU,My stroke of insight | Jill Bolte Taylor,2008-03-13,7297569,74409,5219,0 days 00:20:12
sa0RUmGTCYY,The secret to desire in a long-term relationship | Esther Perel,2013-02-14,5733750,101926,2040,0 days 00:19:11
5MuIMqhT8DM,Sleep is your superpower | Matt Walker,2019-06-03,7149906,200369,7543,0 days 00:19:19
GZadCj8O1-0,The $8 billion iPod | Rob Reid,2012-03-15,940977,16577,834,0 days 00:05:12
jQ95xlZeHo8,How autism freed me to be myself | Rosie King,2014-11-21,702485,12417,1303,0 days 00:06:13
Pl8OlkkwRpc,How the blockchain is changing money and business | Don Tapscott,2016-09-16,4189919,71726,21028,0 days 00:18:50
IBf9pXOmpFw,"Why the pencil is perfect | Small Thing Big Idea, a TED series",2018-11-03,518054,16557,692,0 days 00:03:40
GfF2e0vyGM4,The strongest predictor for success | Angela Lee Duckworth,2021-04-30,407833,15009,744,0 days 00:03:09
YKACzIrog24,How to get better at the things you care about | Eduardo Briceño,2017-02-23,479205,13295,294,0 days 00:11:23
54ST8bwOVyc,&quot;A Bird Made of Birds&quot; | Sarah Kay,2019-07-23,201347,9571,257,0 days 00:04:54
nzj7Wg4DAbs,Why humans run the world | Yuval Noah Harari,2015-07-24,2969110,82410,3882,0 days 00:17:09
N6wjC0sxD2o,Design for All 5 Senses | Jinsop Lee | TED Talks,2013-08-06,465272,11681,418,0 days 00:09:04
x6fIseKzzH0,"Why working from home is good for business | The Way We Work, a TED series",2019-02-09,307198,4687,160,0 days 00:04:39
qAC-5hTK-4c,How your brain&#39;s executive function works -- and how to improve it | Sabine Doebel,2019-05-30,238557,5858,298,0 days 00:09:16
CfqO1U6lfDs,"Ed Yong: Suicidal wasps, zombie roaches and other parasite tales",2014-03-26,271471,7024,336,0 days 00:13:15
PZr142ka96k,"3 steps to stop remote work burnout | The Way We Work, a TED series",2020-11-02,199264,3911,152,0 days 00:04:10
LZAi7DlVN2g,Faith Jegede: What I&#39;ve learned from my autistic brothers,2012-11-02,102682,1747,111,0 days 00:05:21
Y0vRupFPw90,"How a dragonfly&#39;s brain is designed to kill | DIY Neuroscience, a TED series",2018-09-15,799714,19557,1398,0 days 00:05:18
